DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD	DATE_TIME
2023.09.11	18:45:00	1.07425	1.07426	1.07414	1.07421	54	0	16	2023.09.11 18:45:00
2023.09.11	18:46:00	1.07421	1.07422	1.07404	1.07405	69	0	16	2023.09.11 18:46:00
2023.09.11	18:47:00	1.07405	1.0742	1.07405	1.07417	74	0	16	2023.09.11 18:47:00
2023.09.11	18:48:00	1.07418	1.0742	1.07408	1.0742	77	0	16	2023.09.11 18:48:00
2023.09.11	18:49:00	1.0742	1.07427	1.0742	1.07421	50	0	16	2023.09.11 18:49:00
2023.09.11	18:50:00	1.07421	1.07431	1.07411	1.07416	93	0	16	2023.09.11 18:50:00
2023.09.11	18:51:00	1.07416	1.07418	1.07411	1.07416	43	0	16	2023.09.11 18:51:00
2023.09.11	18:52:00	1.07415	1.07418	1.07414	1.07415	27	0	15	2023.09.11 18:52:00
2023.09.11	18:53:00	1.07415	1.07418	1.07409	1.07414	55	0	16	2023.09.11 18:53:00
2023.09.11	18:54:00	1.07414	1.07416	1.0741	1.07414	15	0	16	2023.09.11 18:54:00
2023.09.11	18:55:00	1.07414	1.07416	1.07414	1.07414	15	0	15	2023.09.11 18:55:00
2023.09.11	18:56:00	1.07414	1.07416	1.0741	1.07415	17	0	16	2023.09.11 18:56:00
2023.09.11	18:57:00	1.07415	1.07421	1.07413	1.07421	48	0	16	2023.09.11 18:57:00
2023.09.11	18:58:00	1.07421	1.07422	1.07411	1.07413	64	0	16	2023.09.11 18:58:00
2023.09.11	18:59:00	1.07413	1.07428	1.07411	1.07419	72	0	16	2023.09.11 18:59:00
2023.09.11	19:00:00	1.07418	1.07446	1.07418	1.07445	135	0	17	2023.09.11 19:00:00
2023.09.11	19:01:00	1.07446	1.07467	1.07437	1.07461	230	0	17	2023.09.11 19:01:00
2023.09.11	19:02:00	1.07461	1.07487	1.07461	1.07483	159	0	17	2023.09.11 19:02:00
2023.09.11	19:03:00	1.07481	1.07488	1.0748	1.07482	68	0	15	2023.09.11 19:03:00
2023.09.11	19:04:00	1.07483	1.0749	1.0748	1.07488	57	0	17	2023.09.11 19:04:00
2023.09.11	19:05:00	1.07488	1.07491	1.0748	1.07491	92	0	17	2023.09.11 19:05:00
2023.09.11	19:06:00	1.0749	1.07508	1.07489	1.07501	95	0	17	2023.09.11 19:06:00
2023.09.11	19:07:00	1.07501	1.0751	1.075	1.07505	108	0	17	2023.09.11 19:07:00
2023.09.11	19:08:00	1.07505	1.07507	1.07501	1.07505	66	0	17	2023.09.11 19:08:00
2023.09.11	19:09:00	1.07505	1.07507	1.07498	1.07501	82	0	17	2023.09.11 19:09:00
2023.09.11	19:10:00	1.07501	1.07533	1.075	1.07526	153	0	17	2023.09.11 19:10:00
2023.09.11	19:11:00	1.07525	1.07534	1.07522	1.07533	105	0	17	2023.09.11 19:11:00
2023.09.11	19:12:00	1.07533	1.07548	1.07529	1.07546	79	0	17	2023.09.11 19:12:00
2023.09.11	19:13:00	1.07546	1.07551	1.07544	1.07546	84	0	17	2023.09.11 19:13:00
2023.09.11	19:14:00	1.07546	1.07554	1.07533	1.07546	123	0	17	2023.09.11 19:14:00
2023.09.11	19:15:00	1.07546	1.07558	1.07544	1.07552	122	0	17	2023.09.11 19:15:00
2023.09.11	19:16:00	1.07551	1.07552	1.07544	1.07552	86	0	14	2023.09.11 19:16:00
2023.09.11	19:17:00	1.07551	1.07561	1.07549	1.07561	54	0	17	2023.09.11 19:17:00
2023.09.11	19:18:00	1.07561	1.07562	1.07544	1.07546	125	0	17	2023.09.11 19:18:00
2023.09.11	19:19:00	1.07546	1.07556	1.07544	1.0755	86	0	17	2023.09.11 19:19:00
2023.09.11	19:20:00	1.0755	1.07563	1.0755	1.07561	56	0	17	2023.09.11 19:20:00
2023.09.11	19:21:00	1.07561	1.07566	1.07553	1.07555	131	0	17	2023.09.11 19:21:00
2023.09.11	19:22:00	1.07555	1.0756	1.07547	1.07556	93	0	17	2023.09.11 19:22:00
2023.09.11	19:23:00	1.07556	1.07559	1.0755	1.07551	83	0	17	2023.09.11 19:23:00
2023.09.11	19:24:00	1.0755	1.07552	1.07538	1.0754	89	0	17	2023.09.11 19:24:00
2023.09.11	19:25:00	1.0754	1.07542	1.07534	1.07535	67	0	17	2023.09.11 19:25:00
2023.09.11	19:26:00	1.07536	1.0754	1.07535	1.07536	56	0	17	2023.09.11 19:26:00
2023.09.11	19:27:00	1.07536	1.07547	1.07535	1.07545	73	0	17	2023.09.11 19:27:00
2023.09.11	19:28:00	1.07544	1.07552	1.07544	1.0755	96	0	17	2023.09.11 19:28:00
2023.09.11	19:29:00	1.07549	1.07569	1.07549	1.07568	86	0	13	2023.09.11 19:29:00
2023.09.11	19:30:00	1.07569	1.07571	1.07553	1.07553	114	0	17	2023.09.11 19:30:00
2023.09.11	19:31:00	1.07553	1.07554	1.07549	1.0755	58	0	17	2023.09.11 19:31:00
2023.09.11	19:32:00	1.07551	1.07551	1.07535	1.07541	110	0	17	2023.09.11 19:32:00
2023.09.11	19:33:00	1.0754	1.07542	1.07535	1.07536	54	0	17	2023.09.11 19:33:00
2023.09.11	19:34:00	1.07535	1.07535	1.07525	1.07531	74	0	14	2023.09.11 19:34:00
2023.09.11	19:35:00	1.07532	1.07532	1.07518	1.07519	54	0	14	2023.09.11 19:35:00
2023.09.11	19:36:00	1.07519	1.0752	1.0751	1.07514	65	0	17	2023.09.11 19:36:00
